Facture No;Date et Heure;Prénom et nom;Téléphone;Permis de conduire;Mode de paiement;Type de la carte de crédit;Numéro de la carte de crédit;Type du véhicule;Grandeur du véhicule;Nombre de véhicules loués;Nombre de jours de location;Date de location;Date de retour;Prix de la location par jour;Rabais sur le prix de location;Prix de l'assurance par jour;Montant de la location;Montant de l'assurance;Sous-total; Montant TPS;Montant TVQ;Montant total
1.0;19-04-2025 23:49:53;Noah Barry;(438) 221-1478;D1234-567891-23;Débit;;;Hybride;Petit;6;2;20-04-2025 02:49:53;22-04-2025 05:49:53;55,75;0,00;13,50;669,00;162,00;138,50;6,93;13,82;159,24
2.0;19-04-2025 23:56:06;Albert Soumah;(514) 673-5589;S1234-567891-11;Credit;Mastercard;1234 5678 9123 4567;Electrique;Petit;6;2;20-04-2025 02:56:06;22-04-2025 05:56:06;45,50;0,00;0,00;546,00;0,00;455,00;22,75;45,39;523,14
3.0;19-04-2025 23:58:35;Daniel Montebello;(514) 789-1230;B2531-281285-06;Credit;Visa;4000 1234 5678 9010;Hybride;Intermediaire;10;3;20-04-2025 02:58:35;23-04-2025 05:58:35;60,25;0,00;14,50;1807,50;435,00;793,50;39,67;79,15;912,33
3.0;19-04-2025 23:58:35;Daniel Montebello;(514) 789-1230;B2531-281285-06;Credit;Visa;4000 1234 5678 9010;Electrique;Petit;1;3;20-04-2025 02:58:35;23-04-2025 05:58:35;45,50;0,00;0,00;136,50;0,00;793,50;39,67;79,15;912,33
3.0;19-04-2025 23:58:35;Daniel Montebello;(514) 789-1230;B2531-281285-06;Credit;Visa;4000 1234 5678 9010;Electrique;Intermediaire;9;3;20-04-2025 02:58:35;23-04-2025 05:58:35;50,50;0,00;12,75;1363,50;344,25;793,50;39,67;79,15;912,33
3.0;19-04-2025 23:58:35;Daniel Montebello;(514) 789-1230;B2531-281285-06;Credit;Visa;4000 1234 5678 9010;Hybride;Grand;3;3;20-04-2025 02:58:35;23-04-2025 05:58:35;65,50;0,00;15,50;589,50;139,50;793,50;39,67;79,15;912,33
4.0;20-04-2025 00:02:42;Frederic Costin;(514) 757-1452;A3115-201371-04;Credit;Mastercard;5258 9712 3456 7890;Hybride;Intermediaire;1;3;20-04-2025 03:02:42;23-04-2025 06:02:42;60,25;0,00;14,50;180,75;43,50;1032,25;51,61;102,97;1186,83
4.0;20-04-2025 00:02:42;Frederic Costin;(514) 757-1452;A3115-201371-04;Credit;Mastercard;5258 9712 3456 7890;Electrique;Intermediaire;1;20;20-04-2025 03:02:42;10-05-2025 06:02:42;50,50;10,10;0,00;808,00;0,00;1032,25;51,61;102,97;1186,83
5.0;20-04-2025 00:05:57;Alpha Beta;(450) 123-4587;D1531-282385-03;Débit;;;Electrique;Grand;5;10;20-04-2025 03:05:57;30-04-2025 06:05:57;55,25;0,00;0,00;2762,50;0,00;3711,25;185,56;370,20;4267,01
5.0;20-04-2025 00:05:57;Alpha Beta;(450) 123-4587;D1531-282385-03;Débit;;;Electrique;Intermediaire;1;15;20-04-2025 03:05:57;05-05-2025 06:05:57;50,50;0,00;12,75;757,50;191,25;3711,25;185,56;370,20;4267,01
6.0;20-04-2025 00:07:37;Sekou Bamba;(514) 777-6398;B1531-303596-03;Débit;;;Hybride;Grand;1;3;20-04-2025 03:07:37;23-04-2025 06:07:37;65,50;0,00;15,50;196,50;46,50;544,25;27,21;54,29;625,75
6.0;20-04-2025 00:07:37;Sekou Bamba;(514) 777-6398;B1531-303596-03;Débit;;;Hybride;Intermediaire;5;1;20-04-2025 03:07:37;21-04-2025 06:07:37;60,25;0,00;0,00;301,25;0,00;544,25;27,21;54,29;625,75
7.0;20-04-2025 00:09:37;Ben TourÃ©;(450) 589-1478;T3531-282385-06;Credit;Mastercard;1012 4970 3456 7890;Hybride;Grand;1;2;20-04-2025 03:09:37;22-04-2025 06:09:37;65,50;0,00;15,50;131,00;31,00;1823,25;91,16;181,87;2096,28
7.0;20-04-2025 00:09:37;Ben TourÃ©;(450) 589-1478;T3531-282385-06;Credit;Mastercard;1012 4970 3456 7890;Hybride;Intermediaire;3;5;20-04-2025 03:09:37;25-04-2025 06:09:37;60,25;0,00;0,00;903,75;0,00;1823,25;91,16;181,87;2096,28
7.0;20-04-2025 00:09:37;Ben TourÃ©;(450) 589-1478;T3531-282385-06;Credit;Mastercard;1012 4970 3456 7890;Electrique;Intermediaire;3;5;20-04-2025 03:09:37;25-04-2025 06:09:37;50,50;0,00;0,00;757,50;0,00;1823,25;91,16;181,87;2096,28
8.0;20-04-2025 00:12:05;Pascal Feindouno;(438) 787-3652;F4535-303596-09;Débit;;;Hybride;Petit;5;3;20-04-2025 03:12:05;23-04-2025 06:12:05;55,75;0,00;0,00;836,25;0,00;1290,75;64,54;128,75;1484,04
8.0;20-04-2025 00:12:05;Pascal Feindouno;(438) 787-3652;F4535-303596-09;Débit;;;Electrique;Intermediaire;3;3;20-04-2025 03:12:05;23-04-2025 06:12:05;50,50;0,00;0,00;454,50;0,00;1290,75;64,54;128,75;1484,04
